utterance_id,room_x,room_y,room_z,micL_x,micL_y,micR_x,micR_y,mic_z,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,T60
40na010x_1.9857_01xo031a_-1.9857.wav,6.473325013435549,7.652933778026471,3.191520786947495,3.015121534528599,3.8842242309512724,3.112523765459983,3.998297915075129,1.49070016959827,4.4522351147929005,4.289044149304829,1.222032244035194,4.85550303821435,4.651219420786221,1.6776378931915898,0.9263743156888181
020c0211_0.44692_40mc021b_-0.44692.wav,5.255968328102268,8.262093077328274,3.5517513686348754,2.6448347980982505,4.196111116157329,2.6891441325952585,4.052804860618947,1.154689344771292,1.5452841400125135,4.98277778911755,1.6098306387110097,3.421832698803657,5.083879079833214,1.0358160249786095,0.4331448101294943
01do030h_1.6205_024o030m_-1.6205.wav,8.59018596851823,6.461586772520693,3.198773872200343,4.355616339273031,3.2370661465340023,4.499660767093615,3.2789135217663956,0.9741057742912327,4.039940301349218,2.475795930641346,1.0066250383911688,5.385401336245543,2.444991127822015,1.617540956995779,0.44078723695817584
20uo010f_2.3772_022c020k_-2.3772.wav,9.80393878233389,8.29602696188011,3.7187760832244345,5.0128941788657535,4.22425429787258,4.985906015575415,4.381961745516039,1.0205511008182138,5.851489788084315,2.736996171088637,0.926241296867828,3.907063385494707,4.757564202976731,1.3685715571601986,0.6957236044994105
20aa010c_1.617_01jc020s_-1.617.wav,5.652146411043095,9.921917654972361,3.0657023219180854,2.882105707263704,5.064216573065641,2.8334679659746462,4.922320941976102,1.7589040790012318,3.432958156532522,4.478845787633179,0.9141265736558494,3.0546399385848435,3.2784337468005105,1.6848394073578534,0.2832220172779111
40jc0216_2.2526_40ha010s_-2.2526.wav,6.369065964588922,6.181905631912997,3.3105198436453875,3.318059352237988,2.8658178491709383,3.223521219485713,2.9822761741447814,1.507937798703984,3.6181219948864536,1.3740034021553733,1.2179531266025576,3.29855574389383,3.878700699726168,1.5546712640168079,0.1128255545804418
20qa010h_1.7552_013o0312_-1.7552.wav,7.2686873097110345,7.438386647342742,3.6408748294444946,3.392223408708848,3.740276301549966,3.561398982892857,3.756998296033606,1.76431121462164,4.89633675262833,3.641464067992891,1.6495838415621566,4.639510648788869,4.389277221056904,1.6839422946584661,0.8278518453924546
028o031d_0.75963_01ca010d_-0.75963.wav,8.66056021767317,9.118099935100076,3.7449792112168065,4.349216544921673,4.499052763384694,4.2417937752281825,4.630811438815875,1.6618873456053453,5.082764104339333,5.298526281647557,1.3688635331974508,5.303368450751384,3.8060983143769893,1.343792104727874,0.4017910071966364
40bo0319_1.5155_01uc0201_-1.5155.wav,6.825618246952031,8.915030605460704,3.9479230192085657,3.235861791003648,4.596537206586348,3.293768466407386,4.447383537695213,1.047359077641151,1.320865449726206,4.732190619201417,1.3866727006748638,2.646918433204243,3.032033410953272,0.9332722328085343,0.9329023395735142
20ia010n_1.3886_028a010m_-1.3886.wav,5.942921040165658,8.910138790140223,3.6439261219721386,2.9970127796233057,4.553104083036996,2.934227449423869,4.700270663182583,1.1428932714256466,3.110091451886947,6.211472265652728,1.7579724226569322,1.7134511382278654,3.9065440220296983,1.0414885881905502,0.6551442784519517
